Authors,Title,Year,Source,local_filename,moved
DV Jesus,Apropriação e inserção na contra-arte da geração AI-5,2010.0,,DV_Jesus_Apropriação_e_inserção_na_contra-arte_da_geração_AI-5.pdf,True
E Wójtowicz,Allegorical procedures updated: Artistic practice in post-media culture,2014.0,Metaverse Creativity,E_Wójtowicz_Allegorical_procedures_updated_Artistic_practice_in_post-media_culture.pdf,False
F Guzda-Rivière,"L'au (c) torité de l'artiste et ses paradoxes: tentative de relecture historique, critique et poïétique du statut de l'artiste",2018.0,,"F_Guzda-Rivière_Lau_(c)_torité_de_lartiste_et_ses_paradoxes_tentative_de_relecture_historique,_critique_et_poïétique_du_statut_de_lartiste.pdf",True
F Pestana,A Wikipédia como recurso educacional aberto: um contributo para o Programa Wikipédia na Universidade,2018.0,,F_Pestana_A_Wikipédia_como_recurso_educacional_aberto_um_contributo_para_o_Programa_Wikipédia_na_Universidade.pdf,True
F Ragazzi,"Not my Type. Note sull'ontologia dell'opera d'arte a partire da Margolis, Wollheim e Rohrbaugh.",2017.0,,"F_Ragazzi_Not_my_Type._Note_sullontologia_dellopera_darte_a_partire_da_Margolis,_Wollheim_e_Rohrbaugh..pdf",True
FT da Silva,O READYMADE EA PÓS-PRODUÇÃO: AS DIFERENTES POSSIBILIDADES NA PRODUÇÃO DE ARTE,,arquivo.fmu.br,FT_da_Silva_O_READYMADE_EA_PÓS-PRODUÇÃO_AS_DIFERENTES_POSSIBILIDADES_NA_PRODUÇÃO_DE_ARTE.pdf,True
G Balkan,İNSANSONRASI DURUM VE ÇOKLU PLATFORMLARDA SANAT,2020.0,,G_Balkan_İNSANSONRASI_DURUM_VE_ÇOKLU_PLATFORMLARDA_SANAT.pdf,True
G Batchen,Requiem,2002.0,Afterimage,G_Batchen_Requiem.pdf,True
G Brisson-Darveau,Un état hors du temps,2011.0,,G_Brisson-Darveau_Un_état_hors_du_temps.pdf,True
G Knox,"Art/Science Big Data: Parts 1, 2 and 3",2016.0,Leonardo,"G_Knox_ArtScience_Big_Data_Parts_1,_2_and_3.pdf",True
G Reisinger,Synchrone Archive: Die digitale Quelle im Kontext musealer Sammlungen,2012.0,Museum multimedial: audiovisionäre Traditionen in …,G_Reisinger_Synchrone_Archive_Die_digitale_Quelle_im_Kontext_musealer_Sammlungen.pdf,False
H Klinke,Imitation als Interpiktorialität bei Joshua Reynolds,2013.0,Guido Isekenmeier (Hg.),H_Klinke_Imitation_als_Interpiktorialität_bei_Joshua_Reynolds.pdf,False
H Rogers,“Welcome to your world”: YouTube and the Reconfiguration of Music's Gatekeepers,2023.0,,H_Rogers_“Welcome_to_your_world”_YouTube_and_the_Reconfiguration_of_Musics_Gatekeepers.pdf,False
"I Arns, F Saavedra-Lara, M Watts, BP Kremer…",The Oil Show,2011.0,,I_Arns__F_Saavedra-Lara__M_Watts__BP_Kremer..._The_Oil_Show.pdf,True
I Černá,Apropriace a recyklace mediálních obrazů,2012.0,,I_Černá_Apropriace_a_recyklace_mediálních_obrazů.pdf,True
IF Machado,"A elas, o protagonismo: um estudo sobre o projeto Art+ Feminism e as novas representações de mulheres artistas",2015.0,Trabalho de Conclusão de Curso (Graduação em …,"IF_Machado_A_elas,_o_protagonismo_um_estudo_sobre_o_projeto_Art+_Feminism_e_as_novas_representações_de_mulheres_artistas.pdf",True
J Skinner,Postproduction of Self: Using YouTube—a Social Search for Feeling,2015.0,,J_Skinner_Postproduction_of_Self_Using_YouTube—a_Social_Search_for_Feeling.pdf,True
J Young,Radically rethinking copyright in the arts: A philosophical approach,2020.0,,J_Young_Radically_rethinking_copyright_in_the_arts_A_philosophical_approach.pdf,True
K Hendershott-Kraetzer,"Juliet, I prosume? or Shakespeare and the social network",2023.0,,"K_Hendershott-Kraetzer_Juliet,_I_prosume_or_Shakespeare_and_the_social_network.pdf",True
K Mahy,La protection juridique des photographies,2016.0,,K_Mahy_La_protection_juridique_des_photographies.pdf,True
K Poortier,Locating Critical Space,,academia.edu,K_Poortier_Locating_Critical_Space.pdf,True
K Sykora,Verrutschte Säume: Aneta Grzeszykowska re-inszeniert die Untitled Film Stills,2011.0,Re-Inszenierte Fotografie,K_Sykora_Verrutschte_Säume_Aneta_Grzeszykowska_re-inszeniert_die_Untitled_Film_Stills.pdf,False
KA Verschooren,. art: situating Internet art in the traditional institution for contemporary art,2007.0,,KA_Verschooren_._art_situating_Internet_art_in_the_traditional_institution_for_contemporary_art.pdf,True
L Carreira,Experimental curating in times of the perpetual beta,2017.0,,L_Carreira_Experimental_curating_in_times_of_the_perpetual_beta.pdf,True
L Orán Llarena,Apropiación y simulacro en la representación visual a través de redes sociales. El caso de Instagram,2021.0,,L_Orán_Llarena_Apropiación_y_simulacro_en_la_representación_visual_a_través_de_redes_sociales._El_caso_de_Instagram.pdf,True
L Pagola,Tensiones en la noción de autoría en los procesos de producción artística con tecnología,2011.0,"Poéticas tecnológicas, transdisciplina y sociedad.",L_Pagola_Tensiones_en_la_noción_de_autoría_en_los_procesos_de_producción_artística_con_tecnología.pdf,True
