Authors,Title,Year,Source
Lisa Stein,The Lives and Loves of Images: Biennale für aktuelle Fotografie 2020,2020.0,Burlington Contemporary
David M. Roth,‘Copycat’ @ SF State,2019.0,Squarecylinder.com
Chantal Raguin,Cornell Celebrates International Women's Day with Wikipedia Edit-a-Thon,2019.0,The Cornell Daily Sun
Nathaniel LaCelle-Peterson,Cornell Students Amend Wikipedia to Address Inequality,2016.0,The Cornell Daily Sun
Sianna Boschetti,Creating a safe space for tough issues,2015.0,The Sandspur
"Matt Vetter, Theresa McDevitt, Dan Weinstein, Ken Sherwood",Critical Digital Praxis in Wikipedia: The Art+Feminism Edit-a-thon,2017.0,hybridpedagogy
José Luis Crespo Fajardo,Esteticas Del Media Art,2013.0,Eumed
Daniel Hora,Arte Hacker,2024.0,Edufes
Steve Dixon,"Cybernetic-existentialism: freedom, systems, and being-for-others in contemporary art",2020.0,Routledge
Simon Groth,e-news,2015.0,"The Courier-Mail (Brisbane, Queensland, Australia)"
Olivia Welshans,Edit-a-thon seeks to decrease gender gap on Wikipedia,2018.0,The Daily Illini
Elena Lopez Martin and Borja Morgado Aguirre,"Fandom community, hacker ethic, open movement: influences on socially engaged contemporary net.art",2015.0,ETC Media
Stefano Ferreyros,Harn hosts Wikipedia-editing marathon in name of feminism,2017.0,The Florida Independent Alligator
Matthew Strauss,How Long Will It Take an Artist to Print Wikipedia,2015.0,inverse
Bianca Felicori,If work becomes our life,2021.0,Domus
Alastair McKay,Imagine No Possessions,2002.0,"The Scotsman (Edinburgh, Scotland)"
John Zeaman,Is it photography or is it art?,2002.0,"The Record (Bergen County, NJ)"
Alessandro Ludovico,An e-publishing archaeology,2018.0,Proceedings of the 24th International Symposium on Electronic Art
Jan Dibbets,Bookmarking Book Art – The Art of Reading in a “Post-Text Future”,2018.0,books-on-books
Kickstarter,Five Pieces of Advice for Your Creative Coding Project,2019.0,Kickstarter Magazine
Juliet Helmke,Go For Broke,2016.0,Modern Painters
Ben Hooper,"New York artist creating 7,600-volume 'print edition' of Wikipedia",2015.0,UPI (syndicated)
K Mulholland,Re-imagining the Art School,2019.0,London: Routledge
Julia Jacobs,"Harassers Plague Wikipedia, Too. It's Fighting Back.",2019.0,New York Times
RC Baker,On the Books,2016.0,The Village Voice
Luis López,Recrea artista Wikipedia... !con cientos de tomos!,2015.0,El Norte (México City)
Huda Smitshuijzen AbiFarès,The Art of Reading: From William Kentridge to Wikipedia,2017.0,Khatt Foundation
S Bell,Wikipedia: From Academic Pariah to Campus Learning Partner,2016,Temple University Libraries
Z Freney,"Making the New, Normal: Re-Presenting Mothers' Subjectivities and Their Creative Potential Against Persistent Patriarchal Models",2022,"Making the New, Normal:
re-presenting mothers’ subjectivities and
their creative potential against persistent
patriarchal models"
אורנה שטיין,גוף הזיכרון: עיונים ביצירתה הבימתית של נעמי יואלי‎,2021‎,גוף הזיכרון: עיונים ביצירתה הבימתית של נעמי יואלי
A Burkhardt,Dialing Up the Volume.,2022,Appalachian Journal
Clémentine Mercier,"«Algotaylorism», plus Web la vie",2020.0,Libération
Samantha Amjadali,Buy a life!,2001.0,"Sunday Herald Sun (Melbourne, Australia)"
Emma Whitford,Check Out One Artist's Attempt to Print Out The Entirety Of Wikipedia,2015.0,Gothamist
Kate Knibbs,"Chipping away at Wikipedia's gender bias, one article at a time",2014.0,The Daily Dot
irene opezzo,Così l'arte contemporanea mette in scena la crisi,2017.0,La Stampa
Yue Wu,Exhibition aims to show the meaning of curating,2015.0,The Lantern: Ohio State University (Columbus)
Tom Mustroph,"""Kreativität und Kapital Im digitalen Austausch_ Die Eintritt in ein Lebewesen -Schau im Bethanien v""",2020.0,Die Tageszeitung (TAZ)
Roberta Bosco,Llévese una copia fotográfica autentificada Foto Colectania plantea en una muestra el debate sobre autoría y apropiación,2016.0,El Pais
Hanno Rauterberg,"Mein innerer Rembrandt Nach Joni Mitchell, Brad Pitt und Britney Spears macht nun auch der Musiker E.",2020.0,Die ZEIT
Anthony Fiducia,New art space opens inaugural exhibit,2017.0,"Register-Star (Hudson, New York)"
P. A. MARÍN ESTRADA,Nuevos enfoques artísticos para la fotografía del siglo XXI La muestra 'Yo quería ser fotógrafo' de,2017.0,"El Comercio (Gijón, Spain)"
Samela Harris,Outback online survivor,2001.0,"The Advertiser (Adelaide, Australia)"
Koen Kleijn,Schijnvertoningen De mediakunstenaar,2012.0,De Groene Amsterdammer
Paola van de Velde,Warme handen gezocht,2018.0,De Telegraaf (syndicated in De Gooi- en Eemlander and Noordhollands Dagblad)
Hanno Rauterberg,Wer glaubt noch ans Original: Wolfgang Beltracchi mag ein großer Kunstfälscher sein - seine Bilder g,2011.0,Die ZEIT
Quincy Sinek,Event at CCP aims to empower female Wikipedia editors,2019.0,The Daily Wildcat
Ross Kenneth Urkin,Art of Failure,2016.0,BussinessWeek
Domenico Quaranta,Net Art,2023.0,Postmedia
"S Juan, E Oller",Uso de los ordenadores en los institutos por los jóvenes en el programa 2.0 de España,2019,Pedagogías emergentes en la sociedad digital
Jennifer Schuessler,Consigned to the Museum Heap of History,2019.0,The New York Times
Carl Wilkinson,Is it worth it?,2015.0,"Financial Times (London, England)"
Renate Grimming,Kunstprojekt macht Wikipedia als Bibliothek begehbar,2016.0,"Deutsche Presse-Agentur (syndicated across Germany, including: Frankfurter Rundschau, Stuttgarter Zeitung, Schwarzwälder Bote, Nürnberger Nachrichten, Welt kompakt, Berlin Zeitung, Frankfurter Neue Presse, Neue Presse, etc)"
Authors,Title,Year,Source
Authors,Title,Year,Source
Authors,Title,Year,Source
Authors,Title,Year,Source
Authors,Title,Year,Source
LR Mayhew,"The Activist Essay: Art, Feminism and Wikipedia in the Classroom",2019,acuads.com.au
