Authors,Title,Year,Source,Term
"L PRINCIPI, E RODRIGUEZ, J REYES",Journalist receives Hearst Award,2020,core.ac.uk,Art+Feminism
"L ROSSENOVA, K DI FRANCO","Remembering and recognizing do not take care of, or satisfy, or in any other way reduce one's responsibilities; rather, like all intra-actions, they extend the …",,artic.edu,Art+Feminism
L Soito,Freeing knowledge: Approaches to foster collaboration between academic libraries and the Wikipedia community,2017,Collaborative Librarianship,Art+Feminism
"LM Bridges, D Park…",Writing African American History into Wikipedia,2019,OLA Quarterly,Art+Feminism
LSL ALVAREZ,Presencia de las mujeres en el arte contemporáneo en la ciudad de León,2017,"PRESENCIA DE LAS MUJERES EN EL ARTE CONTEMPORÁNEO EN
LA CIUDAD DE LEÓN",Art and Feminism
M Bence,Az edit-a-thonok általi Wikipédia szerkesztés: Kompetencia-és készségfejlesztési lehetőségek a felsőoktatásban,2022,Tudományos és Műszaki Tájékoztatás,Art+Feminism
M Colquitt,"Library Service and Learning: Empowering Students, Inspiring Social Responsibility, and Building Community Connections",2019,"Review of Library Service and Learning:
Empowering Students, Inspiring Social
Responsibility, and Building Community
Connections",Art+Feminism
M Donatelli,Un'inquadratura: la biblioteca e l'universo femminile,2021,Biblioteche oggi,Art+Feminism
"M Ferré, L Ferrante",Wikipedia y feminismo. Cómo romper con la brecha de género,2018,Pedagogías Emergentes en la Sociedad  DIgital,Art+Feminism
M Friday,Women's History Month March 2018,2018,,[]
"M Gaffet, C Espy",The role of national libraries in contributing towards the sustainable development goal of gender equality,2016,"The role of national libraries in contributing towards the sustainable
development goal of gender equality",Art+Feminism
M Gandhi,"Participation, Engagement and Diversity: a study of Wiki's community building &integration practices in GLAM projects.",2024,"Participation, Engagement and
Diversity : a study of Wiki’s community
building & integration practices in GLAM
projects.",Art+Feminism
"M Gauthier, K Sawchuk",Not notable enough: feminism and expertise in Wikipedia,2017,Communication and critical/cultural Studies,Art+Feminism
"M Houtti, I Johnson, M Warncke-Wang…",Leveraging Recommender Systems to Reduce Content Gaps on Peer Production Platforms,2024,Proceedings of the Eighteenth International AAAI Conference on Web and Social Media (ICWSM 2024),Art+Feminism
"M Lemus-Rojas, TA Thompson",Bringing archival collections to Wikipedia with the Remixing Archival Metadata Project (RAMP) editor,2017,"Bringing archival collections to Wikipedia with the Remixing Archival
Metadata Project (RAMP) editor",Art+Feminism
M Lotts,"Outreach, Engagement, and Highlighting the Rutgers University Libraries Collections",2018,"Outreach, Engagement, and Highlighting the
Rutgers University Libraries Collections",Art+Feminism
"M Lotts, T Maharjan","Engagement, Learning, Outreach, and Fun in 60 Seconds: Button Making at the Rutgers University Libraries",2018,College and Research News,Art and Feminism
"M Miquel-Ribé, D Laniado",The Wikipedia Diversity Observatory: helping communities to bridge content gaps through interactive interfaces,2021,Journal of internet services and applications,Art+Feminism
"M Murphy, E Perrill, A Gaal, C Kelly…","Editing Wikipedia, Discovering Inquiry: Collaboration in a Modern and Contemporary African Art History Course",2021,"Submitted for publication to Art Documentation: Journal of the Art Libraries Society of
North America on 03/01/2021",Art+Feminism
"M Ridge, S Blickhan, M Ferriter…",12. Connecting with communities,2021,The Collective Wisdom Handbook: Perspectives on Crowdsourcing in Cultural Heritage - community review version,Art+Feminism
